"FTYPE","long","lat"
"OSM_shopping",144.98945,-37.78957
"OSM_shopping",144.9627,-37.83937
"OSM_shopping",144.96568,-37.83414
"OSM_shopping",144.98734,-37.79981
"OSM_shopping",144.96706,-37.81789
"OSM_shopping",144.97175,-37.82819
"OSM_shopping",144.96953,-37.83094
"OSM_shopping",145.25682,-37.79651
"OSM_shopping",144.96057,-37.81522
"OSM_shopping",145.23814,-38.45629
"OSM_shopping",144.9569,-37.83008
"OSM_shopping",145.23269,-38.202
"OSM_shopping",144.97104,-37.83027
"OSM_shopping",145.07704,-37.98375
"OSM_shopping",144.89821,-37.85873
"OSM_shopping",145.67563,-38.07522
"OSM_shopping",145.70583,-38.07722
"OSM_shopping",145.08569,-38.00631
"OSM_shopping",145.3141,-37.78502
"OSM_shopping",145.31159,-37.7853
"OSM_shopping",145.31419,-37.78572
"OSM_shopping",145.07044,-37.72702
"OSM_shopping",144.96617,-37.80619
"OSM_shopping",144.96593,-37.80741
"OSM_shopping",145.10219,-38.02654
"OSM_shopping",145.33291,-38.0544
"OSM_shopping",144.97371,-37.83358
"OSM_shopping",144.97505,-37.83583
"OSM_shopping",144.97469,-37.83525
"OSM_shopping",144.97587,-37.83561
"OSM_shopping",145.90984,-37.23308
"OSM_shopping",145.08151,-37.86351
"OSM_shopping",144.97321,-37.80858
"OSM_shopping",145.14027,-37.80867
"OSM_shopping",145.36963,-37.88409
"OSM_shopping",145.40735,-37.87459
"OSM_shopping",145.40704,-37.87473
"OSM_shopping",145.4068,-37.87451
"OSM_shopping",145.42647,-37.77831
"OSM_shopping",145.28173,-38.09971
"OSM_shopping",144.99431,-37.79917
"OSM_shopping",144.99455,-37.79915
"OSM_shopping",144.91911,-37.6788
"OSM_shopping",145.30456,-38.02662
"OSM_shopping",145.1025,-37.70329
"OSM_shopping",144.95982,-37.81723
"OSM_shopping",144.99658,-37.80032
"OSM_shopping",145.48242,-38.07846
"OSM_shopping",144.98398,-37.80138
"OSM_shopping",144.96167,-37.81051
"OSM_shopping",145.93055,-38.16251
"OSM_shopping",145.9309,-38.16203
"OSM_shopping",144.9202,-37.57488
"OSM_shopping",144.96089,-37.83318
"OSM_shopping",145.19595,-38.46427
"OSM_shopping",144.96607,-37.81579
"OSM_shopping",144.95791,-37.80779
"OSM_shopping",144.96067,-37.79687
"OSM_shopping",144.95954,-37.79835
"OSM_shopping",145.16311,-37.90521
"OSM_shopping",145.16312,-37.90509
"OSM_shopping",144.96514,-37.81798
"OSM_shopping",145.03994,-37.90375
"OSM_shopping",144.9872,-37.80071
"OSM_shopping",144.98702,-37.80045
"OSM_shopping",144.98716,-37.79981
"OSM_shopping",144.9661,-37.81877
"OSM_shopping",144.96604,-37.81864
"OSM_shopping",144.96276,-37.8176
"OSM_shopping",144.96622,-37.81827
"OSM_shopping",144.99704,-37.82569
"OSM_shopping",144.44079,-37.67621
"OSM_shopping",144.43878,-37.67585
"OSM_shopping",144.43763,-37.67568
"OSM_shopping",144.43715,-37.67559
"OSM_shopping",144.90223,-37.80149
"OSM_shopping",144.95545,-37.81779
"OSM_shopping",145.03964,-37.91872
"OSM_shopping",145.02013,-37.8553
"OSM_shopping",145.04215,-37.87749
"OSM_shopping",145.04215,-37.87749
"OSM_shopping",145.04196,-37.87742
"OSM_shopping",145.0423,-37.87731
"OSM_shopping",145.04233,-37.8773
"OSM_shopping",144.92321,-37.77571
"OSM_shopping",145.0173,-37.66593
"OSM_shopping",145.01729,-37.66595
"OSM_shopping",144.7453,-37.87056
"OSM_shopping",145.11751,-37.51371
"OSM_shopping",145.08831,-37.9005
"OSM_shopping",145.06724,-37.89021
"OSM_shopping",144.90253,-37.80183
"OSM_shopping",144.90249,-37.80163
"OSM_shopping",145.00083,-37.88475
"OSM_shopping",144.97125,-37.83184
"OSM_shopping",144.5634,-37.68633
"OSM_shopping",144.65813,-37.90334
"OSM_shopping",144.96574,-37.74301
"OSM_shopping",144.96503,-37.81271
"OSM_shopping",145.01368,-37.68002
"OSM_shopping",144.83218,-37.78512
"OSM_shopping",145.13351,-37.9119
"OSM_shopping",145.13607,-38.04524
"OSM_shopping",144.92287,-37.76703
"OSM_shopping",144.92074,-37.7668
"OSM_shopping",144.92251,-37.76678
"OSM_shopping",144.96575,-37.70235
"OSM_shopping",144.97006,-37.81321
"OSM_shopping",144.98262,-37.80727
"OSM_shopping",144.93838,-37.70848
"OSM_shopping",144.93843,-37.70787
"OSM_shopping",145.23661,-37.92051
"OSM_shopping",145.13965,-38.11236
"OSM_shopping",145.12571,-38.13994
"OSM_shopping",145.85823,-38.13688
"OSM_shopping",144.92908,-37.78729
"OSM_shopping",144.92663,-37.6898
"OSM_shopping",145.36099,-37.8481
"OSM_shopping",144.98004,-37.8687
"OSM_shopping",144.97953,-37.86814
"OSM_shopping",144.98027,-37.86939
"OSM_shopping",144.99902,-37.81867
"OSM_shopping",144.98442,-37.79858
"OSM_shopping",145.23923,-38.45324
"OSM_shopping",144.91712,-37.75511
"OSM_shopping",144.88483,-37.68886
"OSM_shopping",144.96249,-37.81025
"OSM_shopping",144.91054,-37.74542
"OSM_shopping",144.59002,-37.48661
"OSM_shopping",144.59166,-37.48752
"OSM_shopping",144.58993,-37.48689
"OSM_shopping",144.58895,-37.48692
"OSM_shopping",144.17191,-38.04523
"OSM_shopping",144.99549,-37.80989
"OSM_shopping",144.99553,-37.80972
"OSM_shopping",144.86745,-37.73266
"OSM_shopping",145.08227,-37.82446
"OSM_shopping",144.98706,-37.80048
"OSM_shopping",144.98713,-37.80078
"OSM_shopping",144.98684,-37.80258
"OSM_shopping",144.98666,-37.8028
"OSM_shopping",144.9865,-37.80367
"OSM_shopping",144.9866,-37.80385
"OSM_shopping",144.98632,-37.80472
"OSM_shopping",144.90054,-37.79937
"OSM_shopping",144.99592,-37.81757
"OSM_shopping",144.95206,-37.81873
"OSM_shopping",144.97999,-37.80836
"OSM_shopping",144.98034,-37.80853
"OSM_shopping",144.98074,-37.80848
"OSM_shopping",144.98346,-37.8087
"OSM_shopping",145.00983,-37.82845
"OSM_shopping",144.83264,-37.78321
"OSM_shopping",144.34306,-38.17498
"OSM_shopping",144.83146,-37.78027
"OSM_shopping",144.96845,-37.69603
"OSM_shopping",144.98418,-37.7291
"OSM_shopping",145.00714,-37.70379
"OSM_shopping",145.0056,-37.7161
"OSM_shopping",145.00671,-37.71586
"OSM_shopping",145.15226,-38.13894
"OSM_shopping",145.27257,-38.07522
"OSM_shopping",144.96401,-37.79686
"OSM_shopping",144.9649,-37.79719
"OSM_shopping",145.00756,-37.8275
"OSM_shopping",145.00752,-37.82764
"OSM_shopping",145.00761,-37.82765
"OSM_shopping",145.05828,-37.8265
"OSM_shopping",145.05841,-37.82646
"OSM_shopping",144.70268,-37.7469
"OSM_shopping",144.83128,-37.78174
"OSM_shopping",144.83289,-37.78223
"OSM_shopping",145.0482,-37.721
"OSM_shopping",145.05854,-37.69635
"OSM_shopping",145.36414,-38.04093
"OSM_shopping",145.04872,-37.72206
"OSM_shopping",145.17184,-37.99286
"OSM_shopping",145.17202,-37.99329
"OSM_shopping",145.08237,-37.71088
"OSM_shopping",145.01251,-37.69525
"OSM_shopping",144.95948,-37.68796
"OSM_shopping",144.89513,-37.72693
"OSM_shopping",144.97255,-37.81425
"OSM_shopping",144.96647,-37.7429
"OSM_shopping",144.99468,-37.80971
"OSM_shopping",144.92067,-37.67921
"OSM_shopping",145.0822,-37.71174
"OSM_shopping",144.94809,-37.66684
"OSM_shopping",144.84636,-37.83531
"OSM_shopping",144.91616,-37.77344
"OSM_shopping",145.07168,-37.77254
"OSM_shopping",145.061,-37.66701
"OSM_shopping",145.06171,-37.66714
"OSM_shopping",145.05374,-37.76392
"OSM_shopping",145.04952,-37.72166
"OSM_shopping",145.05137,-37.72061
"OSM_shopping",145.0498,-37.72405
"OSM_shopping",145.06833,-37.75664
"OSM_shopping",145.16862,-37.76174
"OSM_shopping",145.28074,-37.79657
"OSM_shopping",145.12511,-37.78402
"OSM_shopping",145.09373,-37.79194
"OSM_shopping",145.61421,-37.78142
"OSM_shopping",145.61476,-37.78149
"OSM_shopping",145.61305,-37.78164
"OSM_shopping",145.37466,-37.65875
"OSM_shopping",145.3394,-38.06151
"OSM_shopping",145.3394,-38.06156
"OSM_shopping",145.09139,-37.89899
"OSM_shopping",145.09095,-37.9007
"OSM_shopping",145.09034,-37.90069
"OSM_shopping",145.13353,-37.91184
"OSM_shopping",145.06449,-37.75584
"OSM_shopping",145.14407,-37.92709
"OSM_shopping",145.04048,-37.8891
"OSM_shopping",145.00432,-37.95099
"OSM_shopping",145.03407,-37.80572
"OSM_shopping",144.83203,-37.78201
"OSM_shopping",145.16546,-38.15375
"OSM_shopping",145.11302,-37.77205
"OSM_shopping",144.83262,-37.78757
"OSM_shopping",145.04258,-37.85311
"OSM_shopping",145.05581,-37.96558
"OSM_shopping",144.68182,-37.87616
"OSM_shopping",145.06587,-37.75599
"OSM_shopping",144.79973,-37.74243
"OSM_shopping",144.79985,-37.74224
"OSM_shopping",144.97896,-37.84406
"OSM_shopping",145.77008,-38.11167
"OSM_shopping",144.73935,-38.33915
"OSM_shopping",145.07171,-37.68262
"OSM_shopping",144.96677,-37.80028
"OSM_shopping",144.99371,-37.83908
"OSM_shopping",145.13347,-37.91183
"OSM_shopping",145.35388,-37.8622
"OSM_shopping",144.94253,-37.80736
"OSM_shopping",144.91603,-37.77352
"OSM_shopping",145.11627,-38.14758
"OSM_shopping",145.51868,-37.65299
"OSM_shopping",145.163,-37.90519
"OSM_shopping",145.1629,-37.90519
"OSM_shopping",144.31824,-38.19907
"OSM_shopping",144.9142,-37.5943
"OSM_shopping",144.88188,-37.63922
"OSM_shopping",145.06291,-37.95313
"OSM_shopping",144.96783,-37.81164
"OSM_shopping",144.94133,-37.83996
"OSM_shopping",145.26014,-37.97612
"OSM_shopping",145.30392,-38.4635
"OSM_shopping",145.18287,-37.85542
"OSM_shopping",144.96639,-37.83123
"OSM_shopping",144.96881,-37.83052
"OSM_shopping",145.00119,-37.81858
"OSM_shopping",144.89785,-37.85679
"OSM_shopping",144.99495,-37.81795
"OSM_shopping",144.89791,-37.85726
"OSM_shopping",145.00131,-37.8186
"OSM_shopping",145.12207,-37.81821
"OSM_shopping",145.28097,-37.79779
"OSM_shopping",145.25095,-37.81208
"OSM_shopping",145.12198,-37.81859
"OSM_shopping",145.15259,-37.82055
"OSM_shopping",145.30962,-37.89321
"OSM_shopping",144.9038,-38.35631
"OSM_shopping",145.083,-37.88712
"OSM_shopping",144.45521,-38.18569
"OSM_shopping",145.03539,-37.8205
"OSM_shopping",144.9601,-37.81838
"OSM_shopping",144.94415,-37.82022
"OSM_shopping",144.73522,-37.88299
"OSM_shopping",144.73533,-37.88432
"OSM_shopping",144.73623,-37.88316
"OSM_shopping",145.0681,-37.75625
"OSM_shopping",144.80733,-37.72768
"OSM_shopping",145.31582,-37.85557
"OSM_shopping",145.04785,-37.72094
"OSM_shopping",145.13415,-37.98382
"OSM_shopping",145.05554,-37.96713
"OSM_shopping",145.01795,-37.77879
"OSM_shopping",145.27466,-37.88422
"OSM_shopping",145.08222,-37.82475
"OSM_shopping",145.12513,-37.78497
"OSM_shopping",145.01866,-37.77702
"OSM_shopping",145.11992,-37.84944
"OSM_shopping",144.98348,-37.80447
"OSM_shopping",144.98588,-37.80311
"OSM_shopping",144.9858,-37.80356
"OSM_shopping",144.98537,-37.80602
"OSM_shopping",144.98545,-37.80558
"OSM_shopping",144.92471,-37.76639
"OSM_shopping",145.14197,-37.82099
"OSM_shopping",144.98582,-37.8983
"OSM_shopping",144.73635,-37.88317
"OSM_shopping",145.13164,-37.78763
"OSM_shopping",145.1483,-37.7139
"OSM_shopping",145.03115,-37.80651
"OSM_shopping",144.94117,-37.72016
